predictand_form,domain,predictor_family,predictor,index,scenario,n_models,n_families,r,permutation_p,LOFO_skill,bootstrap_sign_stability,q_BH,satisfies_all_criteria,predictor_enters_predictand
absolute,eastern,C,historical trend Rx1day,rx1day,ssp585,23,13,-0.031,0.896,-0.226,0.538,0.997,no,no
absolute,eastern,C,historical trend Rx1day,r95p,ssp126,23,13,0.004,0.9868,-0.229,0.524,0.997,no,no
absolute,eastern,C,historical trend Rx1day,r95p,ssp245,23,13,0.148,0.4973,-0.207,0.736,0.9205,no,no
absolute,eastern,C,historical trend Rx1day,r95p,ssp370,23,13,0.236,0.2817,-0.161,0.905,0.6701,no,no
absolute,eastern,C,historical trend Rx1day,r95p,ssp585,23,13,0.056,0.7994,-0.229,0.632,0.997,no,no
absolute,eastern,C,historical trend R95p,rx1day,ssp126,23,13,-0.076,0.6955,-0.26,0.65,0.997,no,no
absolute,eastern,C,historical trend R95p,rx1day,ssp245,23,13,0.016,0.9442,-0.374,0.585,0.997,no,no
absolute,eastern,C,historical trend R95p,rx1day,ssp370,23,13,-0.088,0.6727,-0.288,0.626,0.9949,no,no
absolute,eastern,C,historical trend R95p,rx1day,ssp585,23,13,-0.248,0.2561,-0.088,0.907,0.644,no,no
absolute,eastern,C,historical trend R95p,r95p,ssp126,23,13,-0.081,0.6363,-0.246,0.674,0.9926,no,no
absolute,eastern,C,historical trend R95p,r95p,ssp245,23,13,0.013,0.9502,-0.362,0.554,0.997,no,no
absolute,eastern,C,historical trend R95p,r95p,ssp370,23,13,-0.029,0.889,-0.301,0.546,0.997,no,no
absolute,eastern,C,historical trend R95p,r95p,ssp585,23,13,-0.195,0.3695,-0.129,0.867,0.8213,no,no
fractional,national,A,PFS,rx1day,ssp126,13,8,0.114,0.7035,-2.017,0.665,0.9836,no,no
fractional,national,A,PFS,rx1day,ssp245,13,8,0.346,0.2386,-0.603,0.966,0.5482,no,no
fractional,national,A,PFS,rx1day,ssp370,13,8,0.041,0.8952,-1.923,0.564,0.9836,no,no
fractional,national,A,PFS,rx1day,ssp585,13,8,-0.047,0.8812,-1.886,0.497,0.9836,no,no
fractional,national,A,PFS,r95p,ssp126,13,8,0.139,0.5863,-1.06,0.714,0.9804,no,no
fractional,national,A,PFS,r95p,ssp245,13,8,0.433,0.1322,-0.063,0.993,0.3579,no,no
fractional,national,A,PFS,r95p,ssp370,13,8,0.019,0.9484,-0.652,0.536,0.9836,no,no
fractional,national,A,PFS,r95p,ssp585,13,8,-0.01,0.9684,-1.24,0.493,0.9836,no,no
fractional,national,B,Rx1day climatology,rx1day,ssp126,23,13,-0.818,0.0006,0.219,0.999,0.0302,yes,yes
fractional,national,B,Rx1day climatology,rx1day,ssp245,23,13,-0.328,0.1292,-0.454,0.977,0.3552,no,yes
fractional,national,B,Rx1day climatology,rx1day,ssp370,23,13,-0.809,0.0004,0.239,0.999,0.0302,yes,yes
fractional,national,B,Rx1day climatology,rx1day,ssp585,23,13,-0.402,0.0536,-0.242,0.998,0.1572,no,yes
fractional,national,B,Rx1day climatology,r95p,ssp126,23,13,-0.779,0.0012,-0.063,0.99,0.0302,no,yes
fractional,national,B,Rx1day climatology,r95p,ssp245,23,13,-0.28,0.193,-0.263,0.964,0.4783,no,yes
fractional,national,B,Rx1day climatology,r95p,ssp370,23,13,-0.75,0.0068,-0.195,0.967,0.0748,no,yes
fractional,national,B,Rx1day climatology,r95p,ssp585,23,13,-0.496,0.0102,0.083,0.999,0.0897,no,yes
fractional,national,B,R95p climatology,rx1day,ssp126,23,13,-0.831,0.0012,0.163,0.973,0.0302,yes,yes
fractional,national,B,R95p climatology,rx1day,ssp245,23,13,-0.151,0.4855,-0.417,0.81,0.8655,no,yes
fractional,national,B,R95p climatology,rx1day,ssp370,23,13,-0.795,0.0038,0.066,0.937,0.0478,yes,yes
fractional,national,B,R95p climatology,rx1day,ssp585,23,13,-0.161,0.4951,-0.206,0.895,0.8655,no,yes
fractional,national,B,R95p climatology,r95p,ssp126,23,13,-0.823,0.0024,-0.053,0.961,0.0384,no,yes
fractional,national,B,R95p climatology,r95p,ssp245,23,13,-0.241,0.2486,-0.372,0.96,0.5537,no,yes
fractional,national,B,R95p climatology,r95p,ssp370,23,13,-0.8,0.0108,-0.195,0.911,0.0905,no,yes
fractional,national,B,R95p climatology,r95p,ssp585,23,13,-0.37,0.0674,-0.018,0.96,0.1944,no,yes
fractional,national,B,R99p climatology,rx1day,ssp126,23,13,-0.812,0.0034,0.053,0.946,0.0478,yes,yes
fractional,national,B,R99p climatology,rx1day,ssp245,23,13,-0.076,0.7297,-0.299,0.694,0.9836,no,yes
fractional,national,B,R99p climatology,rx1day,ssp370,23,13,-0.773,0.0118,-0.052,0.906,0.0933,no,yes
fractional,national,B,R99p climatology,rx1day,ssp585,23,13,-0.082,0.7425,-0.173,0.72,0.9836,no,yes
fractional,national,B,R99p climatology,r95p,ssp126,23,13,-0.813,0.008,-0.117,0.925,0.0782,no,yes
fractional,national,B,R99p climatology,r95p,ssp245,23,13,-0.186,0.3491,-0.296,0.937,0.6752,no,yes
fractional,national,B,R99p climatology,r95p,ssp370,23,13,-0.791,0.0168,-0.256,0.862,0.1068,no,yes
fractional,national,B,R99p climatology,r95p,ssp585,23,13,-0.301,0.165,-0.062,0.896,0.4208,no,yes
fractional,national,B,tail concentration R95p/PRCPTOT,rx1day,ssp126,23,13,-0.792,0.0264,-0.299,0.799,0.1297,no,yes
fractional,national,B,tail concentration R95p/PRCPTOT,rx1day,ssp245,23,13,0.098,0.6383,-0.152,0.788,0.9836,no,yes
fractional,national,B,tail concentration R95p/PRCPTOT,rx1day,ssp370,23,13,-0.757,0.0314,-0.416,0.754,0.1297,no,yes
